row_index,departamento
84,DEPARTAMENTO DE FORMACION BASICA
85,DEPARTAMENTO DE FORMACION BASICA
86,DEPARTAMENTO DE FORMACION BASICA
87,DEPARTAMENTO DE FORMACION BASICA
88,DEPARTAMENTO DE FORMACION BASICA
89,DEPARTAMENTO DE FORMACION BASICA
90,DEPARTAMENTO DE FORMACION BASICA
91,DEPARTAMENTO DE FORMACION BASICA
92,DEPARTAMENTO DE FORMACION BASICA
93,DEPARTAMENTO DE FORMACION BASICA
94,DEPARTAMENTO DE FORMACION BASICA
95,DEPARTAMENTO DE FORMACION BASICA
96,DEPARTAMENTO DE FORMACION BASICA
97,DEPARTAMENTO DE FORMACION BASICA
98,DEPARTAMENTO DE FORMACION BASICA
99,DEPARTAMENTO DE FORMACION BASICA
100,DEPARTAMENTO DE FORMACION BASICA
101,DEPARTAMENTO DE FORMACION BASICA
102,DEPARTAMENTO DE FORMACION BASICA
103,DEPARTAMENTO DE FORMACION BASICA
104,DEPARTAMENTO DE FORMACION BASICA
105,DEPARTAMENTO DE FORMACION BASICA
106,DEPARTAMENTO DE FORMACION BASICA
107,DEPARTAMENTO DE FORMACION BASICA
108,DEPARTAMENTO DE FORMACION BASICA
109,DEPARTAMENTO DE FORMACION BASICA
110,DEPARTAMENTO DE FORMACION BASICA
111,DEPARTAMENTO DE FORMACION BASICA
112,DEPARTAMENTO DE FORMACION BASICA
113,DEPARTAMENTO DE FORMACION BASICA
114,DEPARTAMENTO DE FORMACION BASICA
115,DEPARTAMENTO DE MATEMATICA
116,DEPARTAMENTO DE MATEMATICA
117,DEPARTAMENTO DE MATEMATICA
118,DEPARTAMENTO DE MATEMATICA
119,DEPARTAMENTO DE MATEMATICA
120,DEPARTAMENTO DE MATEMATICA
121,DEPARTAMENTO DE MATEMATICA
122,DEPARTAMENTO DE MATEMATICA
123,DEPARTAMENTO DE MATEMATICA
124,DEPARTAMENTO DE MATEMATICA
125,DEPARTAMENTO DE MATEMATICA
126,DEPARTAMENTO DE MATEMATICA
127,DEPARTAMENTO DE MATEMATICA
128,DEPARTAMENTO DE MATEMATICA
129,DEPARTAMENTO DE MATEMATICA
130,DEPARTAMENTO DE MATEMATICA
131,DEPARTAMENTO DE MATEMATICA
132,DEPARTAMENTO DE MATEMATICA
133,DEPARTAMENTO DE MATEMATICA
134,DEPARTAMENTO DE MATEMATICA
135,DEPARTAMENTO DE MATEMATICA
136,DEPARTAMENTO DE MATEMATICA
137,DEPARTAMENTO DE MATEMATICA
138,DEPARTAMENTO DE MATEMATICA
139,DEPARTAMENTO DE MATEMATICA
140,DEPARTAMENTO DE MATEMATICA
141,DEPARTAMENTO DE MATEMATICA
142,DEPARTAMENTO DE MATEMATICA
143,DEPARTAMENTO DE MATEMATICA
144,DEPARTAMENTO DE MATEMATICA
145,DEPARTAMENTO DE MATERIALES
146,DEPARTAMENTO DE MATERIALES
147,DEPARTAMENTO DE MATERIALES
148,DEPARTAMENTO DE MATERIALES
149,DEPARTAMENTO DE MATERIALES
150,DEPARTAMENTO DE MATERIALES
151,DEPARTAMENTO DE MATERIALES
152,DEPARTAMENTO DE MATERIALES
153,DEPARTAMENTO DE MATERIALES
154,DEPARTAMENTO DE MATERIALES
155,DEPARTAMENTO DE MATERIALES
156,DEPARTAMENTO DE MATERIALES
157,DEPARTAMENTO DE MATERIALES
158,DEPARTAMENTO DE MATERIALES
159,DEPARTAMENTO DE MATERIALES
160,DEPARTAMENTO DE MATERIALES
161,DEPARTAMENTO DE MATERIALES
162,DEPARTAMENTO DE GEOLOGIA
163,DEPARTAMENTO DE GEOLOGIA
164,DEPARTAMENTO DE GEOLOGIA
165,DEPARTAMENTO DE GEOLOGIA
166,DEPARTAMENTO DE GEOLOGIA
167,DEPARTAMENTO DE GEOLOGIA
168,DEPARTAMENTO DE GEOLOGIA
169,DEPARTAMENTO DE GEOLOGIA
170,DEPARTAMENTO DE GEOLOGIA
171,DEPARTAMENTO DE GEOLOGIA
172,DEPARTAMENTO DE GEOLOGIA
173,DEPARTAMENTO DE INFORMATICA Y CIENCIAS DE LA COMPUTACION
174,DEPARTAMENTO DE INFORMATICA Y CIENCIAS DE LA COMPUTACION
175,DEPARTAMENTO DE INFORMATICA Y CIENCIAS DE LA COMPUTACION
176,DEPARTAMENTO DE ESTUDIOS ORGANIZACIONALES Y DESARROLLO HUMANO
177,DEPARTAMENTO DE FISICA
178,DEPARTAMENTO DE PETROLEOS
179,ESCUELA DE FORMACION DE TECNOLOGOS
180,
181,
